country,year,ide_in,ide_out,ln_gdp_pc,gdp_per_cap,inflation,inflation_cpi,trade_openness,dev_fin,broad_money,current_account,external_debt,reserves,ln_xrate,exchange_rate,real_int_rate,lending_rate,governance,gov_effectiveness,rule_of_law,political_stability,control_corruption,reg_quality,voice_accountability,electricity_access,internet_users,population
Algeria,2000,0.5112,0.0250,7.4804,1772.9287,22.6780,0.3392,62.8583,5.9656,37.8297,19.7858,48.8891,22.7894,4.3209,75.2598,-10.3344,10.0000,-1.0828,-1.0107,-1.2458,-1.4326,-0.9873,-0.7102,-1.1101,98.6000,0.4917,30903893.0000
Algeria,2001,1.8735,0.0157,7.5477,1896.3002,8.0144,4.2260,54.5296,7.3845,52.3818,19.7858,39.3442,22.7894,4.3466,77.2150,1.3754,9.5000,-0.9942,-0.8125,-0.9413,-1.5336,-0.9580,-0.6426,-1.0774,98.6000,0.6461,31331221.0000
Algeria,2002,1.7312,0.1602,7.5691,1937.4641,1.3729,1.4183,56.5896,11.2566,57.8751,19.7858,38.8345,22.7894,4.3780,79.6819,7.1128,8.5833,-0.9056,-0.6142,-0.6367,-1.6346,-0.9288,-0.5750,-1.0447,98.6000,1.5916,31750835.0000
Algeria,2003,0.8680,0.0385,7.7336,2283.7730,8.9425,4.2690,57.7691,10.3643,58.0160,19.7858,33.4657,22.7894,4.3489,77.3950,-0.7504,8.1250,-0.8847,-0.6743,-0.6054,-1.7544,-0.7152,-0.4819,-1.0767,98.6000,2.1954,32175818.0000
Algeria,2004,0.9626,0.2670,7.9434,2816.9938,11.4465,3.9618,61.3580,10.2103,55.0219,19.7858,25.3576,22.7894,4.2775,72.0606,-3.0925,8.0000,-0.7463,-0.5592,-0.6163,-1.3592,-0.6993,-0.4418,-0.8021,98.6000,4.6345,32628286.0000
Algeria,2005,1.0799,0.0514,8.0812,3233.1334,12.3616,1.3824,66.8405,11.5003,51.8926,19.7858,16.6719,22.7894,4.2942,73.2763,-3.8817,8.0000,-0.6095,-0.4462,-0.7736,-0.9137,-0.4664,-0.3415,-0.7157,98.6000,5.8439,33109249.0000
Algeria,2006,1.4957,0.0642,8.2054,3660.6610,10.7812,2.3115,65.9153,11.5208,54.4650,23.4985,4.9716,30.1630,4.2856,72.6466,-2.5105,8.0000,-0.7203,-0.4382,-0.7752,-1.1264,-0.5650,-0.5005,-0.9169,98.7000,7.3760,33623506.0000
Algeria,2007,1.1838,0.1032,8.3351,4167.4517,7.0955,3.6790,67.5455,12.3058,60.7174,21.3033,4.3552,35.3950,4.2383,69.2924,0.8446,8.0000,-0.7631,-0.5373,-0.7919,-1.1506,-0.5923,-0.5226,-0.9841,98.7000,9.4512,34189416.0000
Algeria,2008,1.4628,0.1762,8.5527,5180.9188,15.1179,4.8586,71.0285,12.1302,59.7094,18.8234,3.4835,32.0738,4.1679,64.5828,-6.1831,8.0000,-0.7841,-0.6032,-0.7678,-1.0958,-0.6334,-0.6247,-0.9797,99.3000,10.1800,34816961.0000
Algeria,2009,1.3932,0.1574,8.5330,5086.4271,13.3352,5.0510,68.3700,13.1455,60.9755,14.6584,3.4283,30.8870,4.2512,70.1903,-4.5249,8.0000,-0.7956,-0.5859,-0.7864,-1.0963,-0.6385,-0.7018,-0.9649,99.3125,14.2757,35571181.0000
